A침o,Promedio anual de precipitaciones,Mes m치s plujoso,Estaci칩n m치s plujosa
2006,0.5267705010320886,3,P10
2007,0.28737098892850443,2,P10
2008,0.2950894528033536,1,P10
2009,0.28490148245449426,3,P10
2010,0.20086320135109778,1,P10
2011,0.27853631075248636,3,P10
2012,0.29145894153754026,12,P10
2013,0.3700056295740288,11,P10
2014,0.34557327828860945,3,P10
2015,0.29883280165134174,12,P10
2016,0.4655737704918033,3,P10
2017,0.31665978607618694,12,P10
2018,0.3370688684556202,12,P10
2019,0.5337136423343967,1,P10
2020,0.4037203383486788,11,P10
2021,0.2821017076374554,1,P10
2022,0.5269506474010133,2,P10
2023,0.18320135109776692,4,P10
2024,0.2690021708211693,2,P10
2025,0.2706699193094389,3,P10
2026,0.32672546443985734,1,P10
2027,0.5014299118033402,2,P10
2028,0.21474661277041693,1,P10
2029,0.23419027960217678,1,P10
2030,0.4203039969975605,1,P10
2031,0.35828860949521485,1,P10
2032,0.396466801407291,1,P10
2033,0.389686620379058,2,P10
2034,0.24615500093826234,12,P10
2035,0.21763182585851004,4,P10
2036,0.32613219552361705,1,P10
2037,0.38099455807843874,3,P10
2038,0.2326139988740852,11,P10
2039,0.40250703696753615,1,P10
2040,0.30377273748035033,2,P10
2041,0.26442484518671416,1,P10
2042,0.2822293113154438,12,P10
2043,0.36512666541565025,3,P10
2044,0.3108017067145744,1,P10
2045,0.3067517357853256,2,P10
2046,0.36245449427659976,1,P10
2047,0.3052580221429912,12,P10
2048,0.2878958005838761,4,P10
2049,0.395984237192719,2,P10
2050,0.2720660536686057,1,P10
2051,0.2948095327453556,2,P10
2052,0.17102328018564264,12,P10
2053,0.301234753237005,2,P10
2054,0.3839219365734659,1,P10
2055,0.2262112966785513,11,P5
2056,0.37475110412456025,2,P10
2057,0.3292099831112779,1,P10
2058,0.2596509664102083,1,P10
2059,0.2063276412084819,12,P10
2060,0.25829777677969906,1,P10
2061,0.2572340026271346,3,P10
2062,0.22977669356352035,3,P10
2063,0.32680052542690935,1,P10
2064,0.2261546522943334,12,P10
2065,0.29666353912553944,12,P10
2066,0.27536873709889287,12,P10
2067,0.31483580409082385,1,P10
2068,0.23167153230032184,3,P10
2069,0.2147644961531244,2,P10
2070,0.34064927753799956,3,P10
2071,0.40337774441733915,12,P10
2072,0.1633280934201662,12,P10
2073,0.3426458997935823,12,P10
2074,0.26672171139050477,1,P10
2075,0.3091987239632201,2,P10
2076,0.13230780747061907,4,P10
2077,0.2587877650591105,12,P10
2078,0.368039031713267,1,P10
2079,0.11618690185775944,11,P10
2080,0.29742495695785615,2,P10
2081,0.4440307750046913,1,P10
2082,0.19926440232689055,1,P10
2083,0.38288609495214865,2,P10
2084,0.23844599146642717,12,P10
2085,0.2597185212985551,3,P10
2086,0.21311315443798085,2,P10
2087,0.1841546256333271,12,P10
2088,0.24713676173366267,2,P10
2089,0.3765734659410772,1,P10
2090,0.268095327453556,3,P10
2091,0.21995871645712142,2,P5
2092,0.44298974474137287,1,P10
2093,0.22934884593732405,1,P10
2094,0.298427472321261,1,P10
2095,0.276284481140927,12,P10
2096,0.17373306385208473,3,P10
2097,0.1495590167010696,3,P10
2098,0.16209420153875023,1,P10
2099,0.29786451491837124,12,P10
2100,0.34100206417714396,11,P10
